id,Price
15246,13823
5176,6913
3143,8613
3360,28905
3105,6674
5390,11999
15021,22775
17878,31998
17425,26553
1403,10904
175,6127
7561,3517
4698,3335
1713,5582
10733,25509
2737,15161
4453,19235
9129,1734
8383,12847
10009,21357
17596,16834
590,8276
10362,8212
17936,11099
2754,23221
2041,10247
10330,4695
13470,8470
1397,4954
10565,17336
15837,9661
1140,20549
4474,28532
3404,30877
9497,17085
246,26804
9969,10712
2,7699
8193,7233
5137,36696
17977,16036
2163,4206
12032,14955
3358,12565
2363,8886
15198,45696
13108,48981
2685,22518
15917,30656
15366,17754
3773,5442
3896,18117
17632,16126
16494,5435
8136,7625
12746,29261
7351,5658
14264,22854
7810,9270
8693,8990
2631,7326
7337,32435
16605,8396
10262,4413
9505,23962
15045,15781
2690,7152
12781,1364
7170,34547
17369,5426
6958,10016
11673,15608
18256,9076
4114,17313
6884,13364
6944,5986
2484,14597
12059,4277
3340,36383
7244,34425
538,24453
17033,2543
2492,11191
9127,6556
1852,8316
2634,5178
13985,22352
14309,13628
5143,10265
12940,12454
2445,14717
5204,15723
11309,14742
4873,19939
10713,2099
9846,5506
16698,57182
16047,15454
2310,11110
11602,19764
15158,3512
16370,9553
3103,15461
1757,25232
10966,6582
13415,14690
600,6492
14911,20515
9652,9358
17148,8402
1722,3705
14431,11847
17742,8160
12853,18282
13270,5947
6696,7252
15322,6198
17553,16964
14906,5602
15403,2978
4859,24211
2857,20226
18588,11192
10158,16508
13071,10174
11722,10276
11616,14981
285,7347
3291,11537
2125,-1998
4799,24093
7734,4644
14188,4311
13434,5965
3435,17079
9639,2659
18303,2675
394,10321
2024,7750
5456,14687
9297,33003
13964,8303
2943,14258
10800,17138
4254,6492
443,4447
9966,12407
942,19303
6260,7502
13867,43435
14976,29598
18253,5117
10628,30403
2323,4372
17298,34064
10544,38187
7806,3844
6834,35339
15283,79476
17054,30717
15488,6646
703,19730
11438,30858
18553,7986
3870,8426
9334,4239
1166,8272
11367,26967
8141,9366
13352,12694
519,2821
10905,4712
163,13679
18160,4798
16205,19764
16868,6214
13271,13947
1821,20591
11405,7488
2203,7540
14597,13197
14120,10020
14222,5679
897,13318
203,31511
10719,4161
7665,18775
11576,7558
6334,7449
16920,24349
17340,10301
1629,16155
6602,1905
16479,90670
16112,1829
9071,4300
18785,9411
8609,15768
4589,24633
5688,13978
15455,4673
4648,21636
2369,6283
14752,17455
6306,6454
15110,10869
9009,5746
7649,12048
6325,28113
15987,3073
14403,16804
16948,4823
9033,5210
10466,25456
5013,17728
13744,3425
18335,19182
1737,32960
12923,34222
3145,2993
9281,6739
4167,7101
12522,7986
7955,13084
17652,8380
3386,26650
7468,10435
4170,12931
6783,21177
7778,41318
3447,5393
6109,18663
2904,2812
12744,20418
4998,9228
3348,3931
9475,14011
15737,14512
3885,28131
12467,22869
236,7165
7582,7161
6752,3895
12602,12571
14140,6043
10845,14005
716,17156
1909,37623
4658,11884
1920,6129
13907,7130
10536,27882
11320,39852
6551,10513
15020,6279
12580,10363
1933,6084
1580,12775
943,12162
15953,14214
5754,8116
10290,8543
6198,22248
6104,12327
16793,22529
8072,9144
12395,6590
777,18716
7007,6678
9844,7347
