id,Price
15246,66960
5176,71072
3143,39868
3360,93493
3105,64703
5390,85169
15021,65083
17878,73591
17425,35298
1403,63602
175,61578
7561,4
4698,72675
1713,78967
10733,39304
2737,9740
4453,46650
9129,56525
8383,73986
10009,70890
17596,59322
590,67719
10362,53030
17936,65111
2754,63053
2041,64131
10330,36025
13470,5
1397,60068
10565,65126
15837,25777
1140,64624
4474,71480
3404,52080
9497,58999
246,43156
9969,7655
2,55272
8193,53223
5137,79472
17977,59038
2163,93978
12032,63750
3358,58435
2363,74517
15198,22237
13108,91895
2685,72522
15917,27686
15366,63615
3773,75053
3896,75528
17632,55073
16494,75567
8136,53539
12746,43805
7351,72170
14264,50880
7810,66996
8693,67427
2631,25398
7337,94369
16605,65924
10262,59747
9505,10854
15045,70931
2690,61191
12781,67424
7170,79942
17369,76794
6958,56553
11673,70253
18256,74632
4114,47674
6884,76906
6944,59990
2484,69665
12059,59033
3340,53427
7244,36413
538,76301
17033,73127
2492,94444
9127,73390
1852,53457
2634,60685
13985,69848
14309,55603
5143,72517
12940,65599
2445,61552
5204,5
11309,59889
4873,61212
10713,57550
9846,73596
16698,38697
16047,57083
2310,56211
11602,62904
15158,82318
16370,64201
3103,58811
1757,70175
10966,4
13415,62804
600,60141
14911,57685
9652,68607
17148,60843
1722,57844
14431,61943
17742,55135
12853,37944
13270,75480
6696,50238
15322,85777
17553,87377
14906,5
15403,56414
4859,63601
2857,73663
18588,55540
10158,72065
13071,59695
11722,28156
11616,77999
285,67411
3291,65207
2125,91156
4799,63845
7734,7449
14188,69985
13434,64369
3435,54895
9639,64646
18303,74806
394,57594
2024,74290
5456,66567
9297,74379
13964,52868
2943,48327
10800,53633
4254,43452
443,94304
9966,20928
942,46094
6260,64246
13867,77522
14976,29431
18253,61490
10628,71467
2323,65966
17298,85819
10544,73600
7806,62838
6834,52757
15283,74797
17054,70911
15488,73211
703,60887
11438,82872
18553,54735
3870,61004
9334,74887
1166,74464
11367,79122
8141,15259
13352,73508
519,63804
10905,4
163,55565
18160,60751
16205,75285
16868,51106
13271,57329
1821,74779
11405,67311
2203,52429
14597,61126
14120,57612
14222,61955
897,55732
203,73634
10719,1178
7665,65947
11576,53743
6334,60869
16920,69700
17340,64161
1629,42325
6602,87706
16479,29117
16112,6
9071,57063
18785,66230
8609,56806
4589,20110
5688,72334
15455,10345
4648,68546
2369,10420
14752,60347
6306,59896
15110,62148
9009,59790
7649,54762
6325,79251
15987,64684
14403,87687
16948,71577
9033,48815
10466,74197
5013,57992
13744,71304
18335,61357
1737,73483
12923,70518
3145,77921
9281,70153
4167,74877
12522,55181
7955,56835
17652,91438
3386,78882
7468,58588
4170,73508
6783,70344
7778,41942
3447,12767
6109,59759
2904,71612
12744,62994
4998,60720
3348,63210
9475,74210
15737,70159
3885,68855
12467,50072
236,64034
7582,63209
6752,72081
12602,73986
14140,79953
10845,55348
716,88984
1909,40136
4658,73986
1920,72836
13907,55064
10536,38749
11320,54179
6551,72491
15020,59445
12580,58029
1933,62817
1580,58092
943,73986
15953,94265
5754,54141
10290,54601
6198,41950
6104,61716
16793,65427
8072,64404
12395,64001
777,62858
7007,88452
9844,67411
11270,41565
15936,41233
4179,64399
9959,1112
7667,61850
16015,62752
6853,37848
5275,80456
9317,59458
14799,79225
11809,58283
17440,66841
16458,45949
18227,73766
3530,7505
4569,78841
10721,37325
12527,63719
5563,79621
9862,57384
7871,53665
13696,43459
8230,37412
15533,71581
8370,80351
751,52260
3437,60259
17912,67105
247,55583
7628,72795
4912,55316
93,56476
9463,78993
1400,63469
8935,72836
4078,66937
17217,57211
10148,51553
8861,18854
18841,78438
2283,56941
6514,55919
6599,78922
9174,47273
533,58101
10983,59027
1831,70906
6061,63784
7257,69171
5846,67665
18078,54751
6702,63250
9025,56723
18035,71072
19103,5
14330,55079
16700,57104
14359,74347
13640,56117
4829,48668
9630,63279
4438,58919
2618,43747
10250,58207
18506,52767
2493,62105
8131,10856
13537,60888
15358,72081
2818,63526
6236,47673
470,71008
16058,61097
16732,74877
193,64673
6935,55363
14401,72081
7896,61511
3430,61919
9245,79499
204,66268
10646,57720
4318,5
14810,66894
10743,94364
16842,66201
11761,59845
4706,52872
17428,66299
7388,64032
1471,6
827,60221
8764,22673
4819,58150
14949,54334
2544,60148
13445,61111
11751,23361
5619,5
14274,60834
11197,63939
9310,87377
12660,4
12097,44932
2421,57580
13778,5
16722,68777
18966,74616
8212,43286
5446,58620
14856,70148
9466,64156
12137,58448
18150,37303
15162,63242
12793,58516
18912,71873
13098,61794
7002,71125
8405,66310
1900,73654
13510,56913
16847,56638
4704,63750
3275,57938
17640,70709
18086,63768
7848,71143
8713,6
10570,67461
3910,74806
5848,87408
17162,70311
5796,77999
7794,39217
11404,71429
4,68295
16012,79863
650,25263
318,55072
4871,78102
14423,68703
8134,72408
16585,65721
16314,65693
4570,64361
18860,64240
17671,77999
14194,59793
8099,47858
16326,62057
17121,73223
15901,75196
9309,79447
1222,8055
13693,60503
1965,73901
3203,50775
2006,74204
2198,80444
11707,61484
5386,89094
4997,59359
4255,20741
4608,17479
8107,57454
8471,61824
17693,58364
17161,47130
7563,72250
11554,5
14481,1163
1750,77239
4590,1060
16903,73033
12883,62242
5297,74844
9218,58173
11723,58971
5450,45722
6995,79519
1069,23357
10316,63642
15725,56108
16217,58461
8318,28156
3028,48035
10738,66325
15255,40230
3363,64853
147,55226
7129,64670
18571,61242
7968,60518
6197,29608
16079,71468
3649,59747
9868,68398
8298,78442
14434,36025
12610,58551
4268,70114
18324,67539
14025,60151
6815,68131
72,78697
15976,43324
10389,38388
5966,50761
86,59038
11738,74035
11803,56058
14738,59648
15430,1139
15026,60363
6857,64389
10255,73905
18576,55836
19072,73462
2038,60588
3198,49291
7614,8085
10422,61327
3798,6
11683,61479
18469,68979
4086,78743
1231,51972
4060,59715
17238,56256
5531,44932
3507,59968
1522,98100
6887,94369
13764,14856
4102,70067
16110,44119
1657,30393
10091,65407
1581,61131
13193,65476
6532,59791
11134,92781
9891,74040
13796,74632
10952,72711
3111,5
3106,70622
18736,40788
6385,57150
10249,9056
16265,60551
5782,61573
2160,77583
4858,57369
6946,57098
389,54960
8701,55805
17629,57265
9629,54809
9016,55488
11820,62343
5677,57822
702,6
2587,19517
3672,82646
10226,74703
4720,73252
3985,73986
17726,4
4920,60331
6459,51370
6732,59884
14788,47288
12016,59845
15307,57615
8237,60484
15669,63279
18289,56183
9602,89098
18226,89055
8548,64857
13861,27493
5513,55016
9173,53592
6484,74347
6194,56977
11772,80146
14283,59278
13656,66092
14680,76048
5930,61236
17156,61554
7424,64287
6499,55103
14378,56754
19099,72602
16799,87920
1037,6787
15736,27177
3477,40752
1461,97322
14995,40796
3665,79898
6871,59687
12121,71995
10827,54804
3148,45193
13316,60825
745,35882
16210,62081
14955,60147
11059,57544
7837,60082
5788,63250
9467,4
6063,70813
14576,63298
6114,65269
16009,70355
14369,87377
17413,62148
6240,71612
10796,55718
5420,58423
18513,49272
351,75641
16184,57319
2578,61722
1257,65356
17799,58490
3929,42113
17104,78704
754,66760
13848,76482
14469,66704
4333,63088
1645,62992
10450,55326
10480,58793
9657,62285
18669,72277
4076,54999
2350,83551
5348,69420
5132,66016
1235,72413
14731,5
8685,75144
10579,57410
3069,54178
18585,66939
13386,67432
17310,34035
18755,77239
14887,66748
17877,97679
12407,72145
15506,59846
17734,61428
649,59776
15861,1176
17228,62299
107,80319
18895,73508
13300,87377
232,37710
2886,73035
10758,73308
7020,37508
7708,60392
11445,74196
481,402
17083,61220
18956,62470
17106,77268
13428,57870
17151,89447
1156,72706
16148,62955
